Opponent Decklist,Result
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,-1.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,1.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,1.0
Brain Maggot | Mox Jet | Rishadan Port,1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Chancellor of the Forge | Vexing Bauble | Wasteland,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Force of Despair | Grief,1.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Forest | Hexdrinker | Mental Misstep,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Sol Ring | Sphere of Resistance,1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Scythe Tiger | Thoughtseize,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Damping Sphere | Steel Overseer,-1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,-1.0
Hangarback Walker | Inkmoth Nexus | Rishadan Port,0.0
Hickory Woodlot | Maze of Ith | Outland Liberator,1.0
Hickory Woodlot | Packsong Pup | Packsong Pup,1.0
Inkmoth Nexus | Plains | Portable Hole,1.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Mishra's Factory | Rishadan Port | Sunken Citadel,-1.0
Mox Pearl | Mutavault | War Priest of Thune,-1.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,1.0
Mox Pearl | Skrelv's Hive | The Seedcore,0.0
Path to Exile | Prairie Dog | Remote Farm,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Aether Vial | Chancellor of the Tangle | Knight of Autumn,1.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",1.0
