Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
"Alseid of Life's Bounty | Skrelv, Defector Mite | Snow-Covered Plains",1.0
Bayou | Hexdrinker | Ruthless Negotiation,0.0
Blinkmoth Nexus | Forest | Hexdrinker,0.0
Collective Resistance | Collector Ouphe | Hickory Woodlot,0.0
Daze | Hexdrinker | Tropical Island,-0.5
Daze | Island | Sleep-Cursed Faerie,0.5
Dreadhorde Invasion | Hymn to Tourach | Peat Bog,1.0
Gleeful Demolition | Rustvale Bridge | Unwanted Remake,-0.5
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,0.0
Hickory Woodlot | Scythe Tiger | Serene Remembrance,0.5
Innocent Blood | Mishra's Factory | Mox Jet,0.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,0.5
Legacy's Allure | Saprazzan Skerry | Tide Shaper,0.0
"Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring",-0.5
Nature's Claim | Predator Ooze | Rushwood Grove,0.5
Prairie Dog | Remote Farm | Soul Partition,-1.0
Reassembling Skeleton | Subterranean Hangar | Sudden Edict,1.0
