,Result
Akoum Warrior | Akoum Warrior | Glimpse of Tomorrow,1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,0.0
Ancient Tomb | Idol of False Gods | The Filigree Sylex,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
"Argoth, Sanctum of Nature | Sunken Citadel | Sunken Citadel",-1.0
Assassin Initiate | Inquisition of Kozilek | Urborg,0.5
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Blast Zone | Sunken Citadel | Treetop Village,0.0
Blazing Rootwalla | Restore Balance | Undiscovered Paradise,0.0
Blinding Angel | Mana Vault | Remote Farm,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Divine Gambit | Remote Farm | Skrelv's Hive,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Dryad Arbor | Fishing Pole,1.0
Dryad Arbor | Force of Negation | Mental Misstep,0.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,-1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Field of Ruin | Idol of False Gods | Sol Ring,-1.0
Field of Ruin | Remote Farm | Skrelv's Hive,-1.0
Field of Ruin | Sandstone Needle | Stingerback Terror,-1.0
Gilded Drake | Homeward Path | Mox Sapphire,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Hammerheim | Heartfire Hero | Pithing Needle,0.0
Icatian Store | Solitude | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | Sleep-Cursed Faerie,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,1.0
Mesmeric Fiend | Mox Jet | Rishadan Port,0.5
Mesmeric Fiend | Mox Jet | Urza's Factory,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
"Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry",-1.0
Nether Spirit | Peat Bog | Smallpox,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
Prairie Dog | Remote Farm | Soul Partition,0.0
