Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ali from Cairo | Dwarven Hold | Red Sun's Zenith,1.0
Ancient Den | Dusk Rose Reliquary | Glint Hawk,-1.0
Ancient Tomb | Mox Jet | Unstoppable Slasher,0.0
Ancient Tomb | Porcelain Legionnaire | Ratchet Bomb,0.0
Azure Beastbinder | Cyclonic Rift | Saprazzan Skerry,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,1.0
Brain Maggot | Mox Jet | Rishadan Port,0.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,1.0
Chancellor of the Forge | Vexing Bauble | Wasteland,0.0
"Dargo, the Shipwrecker | Great Furnace | Mana Crypt",1.0
Dark Ritual | Iridescent Vinelasher | Undiscovered Paradise,1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Daze | Hexdrinker | Tropical Island,0.0
Daze | Island | Sleep-Cursed Faerie,0.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Hollow Trees | Nullhide Ferox,1.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Forest | Hexdrinker | Mental Misstep,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Freed from the Real | Hickory Woodlot | Twitching Doll,0.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,-1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.5
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Sol Ring | Sphere of Resistance,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",-1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,1.0
Abandon Hope | Dryad Arbor | Force of Despair,1.0
Adanto Vanguard | Luminarch Aspirant | Remote Farm,0.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,0.0
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,0.0
Crack the Earth | Greater Gargadon | Mountain,1.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Crystal Vein | Mox Emerald | Words of Wilding,-1.0
Dismember | Dryad Arbor | Pick Your Poison,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dryad Arbor | Embiggen | Serene Remembrance,1.0
Etched Slith | Life of Toshiro Umezawa | Peat Bog,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Hammerheim | Heartfire Hero | Lightning Bolt,-0.5
Mishra's Factory | Mox Pearl | Prairie Dog,0.0
Mishra's Factory | Springheart Nantuko | Undiscovered Paradise,-1.0
Prairie Dog | Prairie Dog | Remote Farm,-1.0
