Opponent Decklist,Result
Ancient Tomb | Grim Monolith | Leveler,1.0
Bottomless Vault | Nether Spirit | Sudden Edict,1.0
Compelling Deterrence | Foulmire Knight | Sulfur Vent,1.0
Crawling Chorus | Scrubland | Tendrils of Despair,1.0
"Dark Ritual | Davriel, Rogue Shadowmage | Swamp",1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Ensnaring Bridge | Keldon Megaliths | Mercadian Bazaar,-1.0
Force of Despair | Grief | Memnite,0.0
Force of Negation | Memnite | Snapback,-1.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Gift of Fangs | Swamp | Vampire of the Dire Moon,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Gourmand's Talent | Hickory Woodlot | Sheltered Valley,-1.0
Guide of Souls | Remote Farm | Skrelv's Hive,1.0
Mana Vault | Mox Jet | Rottenmouth Viper,-1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Plains | Precinct Captain,1.0
Rimrock Knight | Roc Hunter | Sandstone Needle,1.0
Sarcomancy | Tel-Jilad Stylus | Urborg,0.0
Aether Vial | Elvish Spirit Guide | Scornful Egotist,1.0
Akroan Horse | Ancient Tomb | Sol Ring,1.0
Alpine Moon | Mountain | Stromkirk Noble,1.0
Ancient Tomb | Chalice of the Void | Clockwork Droid,-1.0
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,1.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blazing Volley | Hammerheim | Heartfire Hero,1.0
Bone Shards | Infestation Sage | Swamp,1.0
Bottomless Vault | Coffin Queen | Sheoldred's Edict,1.0
Bottomless Vault | Encroach | Tomb of Urami,1.0
Bottomless Vault | Murderous Rider | Sheoldred's Edict,1.0
Campfire | Eldrazi Temple | Idol of False Gods,1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,1.0
Crawling Chorus | Karakas | Leyline of Singularity,-1.0
Custody Battle | Flamekin Village | Undiscovered Paradise,1.0
Dark Ritual | Hypnotic Specter | Swamp,0.0
Demolition Field | Idol of False Gods | Sol Ring,1.0
Dismember | Hollow Trees | Quagnoth,1.0
Drannith Magistrate | Mishra's Factory | Mox Pearl,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
Dryad Arbor | Dryad Arbor | Pick Your Poison,0.5
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Dwarven Hold | Stingerback Terror | Subterranean Tremors,1.0
"Dwarven Ruins | Emrakul, the Aeons Torn | Glimpse of Tomorrow",1.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,-1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,-1.0
Encroach | Student of Warfare | Undiscovered Paradise,1.0
Foil | Island | Nether Spirit,0.0
Forbidden Orchard | Peat Bog | Suspended Sentence,1.0
"Fury | Mercadian Bazaar | Squee, the Immortal",1.0
Glistener Elf | Glistener Elf | Pendelhaven,1.0
Hammerheim | Heartfire Hero | Heartfire Hero,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
Mishra's Factory | Mox Pearl | Soul Partition,0.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,-0.5
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
Plains | Student of Warfare | Unwanted Remake,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
