Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,0.0
Ajani Vengeant | Crystal Vein | Tinder Farm,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Mox Pearl | Rishadan Port",-0.5
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Mox Emerald | Words of Wilding,0.0
Angel of Sanctions | Icatian Store | Ice Floe,-1.0
"Auriok Champion | Phelia, Exuberant Shepherd | Remote Farm",1.0
Blazing Hope | Crawling Chorus | Snow-Covered Plains,0.5
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",-1.0
Dismember | Hammerheim | Heartfire Hero,0.0
Dryad Arbor | Jaddi Offshoot | Mistbreath Elder,1.0
"Dryad Arbor | Karakas | Mikaeus, the Lunarch",1.0
Encroach | Scythe Tiger | Undiscovered Paradise,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,1.0
Field of Ruin | Selesnya Sanctuary | Treetop Village,-1.0
"Fynn, the Fangbearer | Hickory Woodlot | Kappa Tech-Wrecker",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Keldon Megaliths | Pithing Needle | Sunken Citadel,-1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,0.5
Mountain | Storm World | Wayward Guide-Beast,0.5
