,Result
Ajani Vengeant | Ancient Tomb | Tinder Farm,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,1.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blazing Volley | Hammerheim | Heartfire Hero,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,1.0
Campfire | Eldrazi Temple | Idol of False Gods,0.5
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Dark Ritual | Hypnotic Specter | Swamp,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,0.0
Eldrazi Temple | Field of Ruin | Idol of False Gods,0.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,0.0
Encroach | Student of Warfare | Undiscovered Paradise,0.0
Field of Ruin | Idol of False Gods | Sol Ring,0.0
Forbidden Orchard | Peat Bog | Suspended Sentence,1.0
Glistener Elf | Glistener Elf | Pendelhaven,0.0
Hickory Woodlot | Outland Liberator | Twitching Doll,-1.0
Lair of the Hydra | Llanowar Mentor | Vigor,1.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,0.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
Plains | Student of Warfare | Unwanted Remake,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,-1.0
Cleansing Wildfire | Mox Ruby | Mutavault,0.0
Crack the Earth | Taiga | Young Wolf,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",-1.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,0.5
Karakas | Leyline of Singularity | Student of Warfare,1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",1.0
Mental Misstep | Remote Farm | Skrelv's Hive,-1.0
Prairie Dog | Prairie Dog | Remote Farm,-1.0
