Opponent Decklist,Result
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,0.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Etched Slith | Mox Jet | Rishadan Port,-1.0
Hexdrinker | Path to Exile | Undiscovered Paradise,0.0
"Island Sanctuary | Phelia, Exuberant Shepherd | Remote Farm",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
Mox Sapphire | Rishadan Port | Volatile Stormdrake,-0.5
Ocelot Pride | Path to Exile | Plains,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,-1.0
Angel of Sanctions | Fountain of Cho | Solitude,0.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Calciform Pools | Hall of Storm Giants | Unable to Scream,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,0.0
Contagion | Dryad Arbor | Unmask,-0.5
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-0.5
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Force of Negation | Mental Misstep,-1.0
"Dryad Arbor | Oboro, Palace in the Clouds | Springheart Nantuko",1.0
Field of Ruin | Sleep-Cursed Faerie | Sunken Citadel,1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Island Sanctuary | Prairie Dog | Remote Farm,1.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,-1.0
Mockingbird | Mockingbird | Mockingbird,1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,1.0
Prairie Dog | Remote Farm | Skrelv's Hive,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Aether Vial | Chancellor of the Tangle | Knight of Autumn,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Ancient Tomb | Chalice of the Void | Coretapper,0.0
Ancient Tomb | Demolition Field | Phyrexian Revoker,-1.0
Ancient Tomb | Idol of False Gods | Ruins of Oran-Rief,1.0
Ancient Tomb | Isochron Scepter | Selesnya Charm,1.0
Ancient Tomb | Mox Sapphire | Visage Bandit,0.0
Animal Sanctuary | Sacred Cat | Sunken Citadel,1.0
"Argoth, Sanctum of Nature | Sunken Citadel | Sunken Citadel",1.0
