Suggested Deck,Alpine Moon | Hammerheim | Heartfire Hero,Blast Zone | Keldon Megaliths | Sunken Citadel,Field of Ruin | Idol of False Gods | Sol Ring,Mishra's Factory | Mox Jet | Nezumi Shortfang,Ancient Tomb | Mox Ruby | Stingerback Terror,Dark Ritual | Swamp | Unstoppable Slasher,Remote Farm | Skrelv's Hive | Soul Partition,Total
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0,1.0,,-0.0,,1.0,-0.0,3.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0,-1.0,,1.0,,1.0,1.0,3.0
Plains | Student of Warfare | Unwanted Remake,1.0,,,1.0,,1.0,-1.0,2.0
Assassin Initiate | Evil Presence | Swamp,1.0,1.0,,,,,,2.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",1.0,,,,,1.0,,2.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,,1.0,,,,1.0,,2.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0,,,1.0,,1.0,-1.0,2.0
Mishra's Factory | Mox Pearl | Prairie Dog,,,,1.0,1.0,-0.0,,2.0
Karakas | Leyline of Singularity | Student of Warfare,,-1.0,,1.0,1.0,1.0,-0.5,1.5
Etched Slith | Mishra's Factory | Mox Jet,1.0,1.0,-0.0,-0.5,,,,1.5
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0,1.0,,-0.5,,1.0,1.0,1.5
Dark Ritual | Phylactery Lich | Vault of Whispers,1.0,,,,,,,1.0
Isochron Scepter | Lightning Helix | Mana Crypt,1.0,,,,,1.0,-1.0,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",1.0,,,-0.0,,1.0,-1.0,1.0
Hammerheim | Heartfire Hero | Lightning Bolt,1.0,,,,,,,1.0
Lotus Bloom | Mental Misstep | True-Name Nemesis,1.0,,,,,,,1.0
Mountain | Storm World | Wayward Guide-Beast,-0.0,,1.0,,,,,1.0
Alpine Moon | Scythe Tiger | Taiga,1.0,,,,,,,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0,,,,,,,1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",1.0,,,,,,,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-0.0,,,,1.0,,,1.0
Flare of Malice | Nested Shambler | Swamp,1.0,,,,,,,1.0
Khalni Garden | Mistbreath Elder | Sunshower Druid,1.0,,,,,,,1.0
